Product,Price (₹),Weight (g),Calories,Protein (g),₹/g Protein,kcal/g Protein,Protein Source
Soya chunks,70,200,686,105,0.67,6.53,Veg
Chickpeas (Chana),48,200,740,40,1.2,18.5,Veg
Egg (4),30,200,312,24,1.25,13,Egg
Fish (Avg),60,200,320,43,1.4,7.44,Non Veg
Milk,10,200,134,6.4,1.56,20.94,Diary
Peanut butter,95,200,1250,60,1.58,20.83,Veg
Amul High Protein Plain Lassi,25,200,107,15,1.67,7.13,Diary
Milky Mist High Protein Paneer,105,200,406,50,2.1,8.12,Diary
Tofu,86,200,278,31,2.77,8.97,Veg
Sunflower seeds,65,100,629,22.7,2.86,27.71,Veg
Paneer,100,200,548,32,3.13,17.13,Diary
Cheese,135,200,622,40,3.38,15.55,Diary
Chicken Breast Raw (Approx),150,200,330,44,3.41,7.5,Non Veg
Epigamia Milkshake,105,250,138,25,4.2,5.52,Diary
Pumpkin Seeds,95,100,456,19,5,24,Veg
Yoga Bar Protein Bar,127,70,329,21,6.05,15.67,Veg
D'lecta Feta Cheese,206,200,538,34,6.06,15.82,Diary
Epigamia Greek Yogurt,73,100,65,7,10.48,9.29,Diary
